구분,교육지원청,학원및교습소명,주소,설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,강사수
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기기능사자격증 실기과정,0,1개월 0일,4800,500000,0,0,0,0,0,0,0,500000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기기능사 필기과정,0,2개월 0일,6120,920000,0,0,0,0,0,0,0,920000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기기능사 실기과정,0,1개월 0일,4800,500000,0,0,0,0,0,0,0,500000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기산업기사자격증 필기특강,0,1개월 7일,3000,500000,0,0,0,0,0,0,0,500000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,전기기능사자격증 필기과정,0,0개월 36일,6480,970000,0,0,0,0,0,0,0,970000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,건축전기설비기술사 기본과정,0,3개월 0일,3600,550000,0,0,0,0,0,0,0,550000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,건축전기설비기술사 심화과정,0,3개월 0일,3600,550000,0,0,0,0,0,0,0,550000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,발송배전기술사 기본과정,0,3개월 0일,3600,550000,0,0,0,0,0,0,0,550000,14
학원,동부,한국전기학원,"대전광역시 중구 계룡로 871 , 4층 (용두동)",정희숙,042-254-0500,전기,발송배전기술사 심화과정,0,3개월 0일,3600,550000,0,0,0,0,0,0,0,550000,14
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",초급,20,1개월 0일,1200,120000,0,0,0,0,0,0,0,120000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",중급,20,1개월 0일,1200,150000,0,0,0,0,0,0,0,150000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",고급,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",OA실무과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",ITQ과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",워드프로세서1급,20,1개월 0일,4000,500000,0,0,0,0,0,0,0,500000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",ITQ마스터과정,20,1개월 0일,8000,900000,0,0,0,0,0,0,0,900000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",컴활1급,20,1개월 0일,6000,900000,0,0,0,0,0,0,0,900000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무자동화기사,20,1개월 0일,6000,900000,0,0,0,0,0,0,0,900000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인ITQ한글자격증취득과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인ITQ파워포인트자격증취득과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인ITQ엑셀자격증취득과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인ITQ액세스자격증취득과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인ITQ인터넷자격증취득과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인ITQ공인강사자격증취득과정,20,2개월 10일,9000,1125000,0,0,0,0,0,0,0,1125000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터활용2급(필기,실기)자격증취득과정",20,2개월 0일,4800,600000,0,0,0,0,0,0,0,600000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",정보처리기능(기사)필기자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",정보처리기능(기사)실기자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",프로그램밍언어실습과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",C언어프로그램밍실습,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",C++프로그램밍실습,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",C#프로그램밍실습,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",C언어알고리즘,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",JAVA언어프로그램밍실습,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",JAVA언어알고지즘,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",스크래치프로그래밍초급,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",스크래치프로그래밍중급,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",스크래치프로그래밍초급,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",PC정비사자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",네트워크관리사자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",CCNA자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",정보화활용과정,20,2개월 0일,7200,900000,0,0,0,0,0,0,0,900000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무자동화실무과정,20,2개월 10일,9000,1125000,0,0,0,0,0,0,0,1125000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",문서실무활용과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",프리젠테이션활용과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",스프레드시트활용과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",데이터베이스활용과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",인터넷활용과정,20,1개월 0일,2400,300000,0,0,0,0,0,0,0,300000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",포토샵실무활용과정,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",일러스트실무활용과정,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",플러시실무활용과정,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",인디자인실무활용과정,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인GTQ(포토샵)자격증취득과정,20,1개월 0일,2400,400000,0,0,0,0,0,0,0,400000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인GTQ(일러스트)자격증취득과정,20,1개월 0일,2400,400000,0,0,0,0,0,0,0,400000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인GTQ(플러시)자격증취득과정,20,1개월 0일,2400,400000,0,0,0,0,0,0,0,400000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",국가공인GTQ(인디자인)자격증취득과정,20,1개월 0일,2400,400000,0,0,0,0,0,0,0,400000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","컴퓨터그래픽스기능사(필기,실기)자격증취득과정",20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","멀티미디어콤텐츠제작전문가(필기,실기)자격증취득과정",20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",스마트앱마스터실무과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",동영상편집과정초급,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",동영상편집과정중급,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",동영상편집과정고급,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",홈페이지편집활용과정,20,1개월 0일,1200,200000,0,0,0,0,0,0,0,200000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",홈페이지제작운영과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",쇼핑몰제작운용(카페24),20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",대박나는쇼핑몰창업과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",블로그와창업마케킹운영,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","웹디자인기능사(필기,실기)자격증취득과정",20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용기계제도기능사자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용건축제도기능사자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용토목제도기능사자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",ATC2급자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",ATC1급자격증취득과정,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용제도실무1(2D),20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",전산응용제도실무2(3D),20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3차원컴퓨터지원설계프로그램3D초급,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3차원컴퓨터지원설계프로그램3D중급,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",3차원컴퓨터지원설계프로그램3D고급,20,2개월 0일,4800,800000,0,0,0,0,0,0,0,800000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정전문가과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정업무관리자양성과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정업무지원인력양성과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정일반사무보조원양성과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정사무실수오피스과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정(사무자동화&컴퓨터활용능력1급)실무과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무자동화컴퓨터활용능력실무과정,20,3개월 0일,10800,1350000,0,0,0,0,0,0,0,1350000,3
학원,동부,대승컴퓨터학원,대전광역시 대덕구 중리북로 10   4층 (법동),박경희,042-625-0301,"컴퓨터(정보처리,통신기기,인터넷,소프트웨어)",사무행정문서작성관리,20,2개월 0일,4800,600000,0,0,0,0,0,0,0,600000,3
